,Date,1
0,2023-09-19 10,38.74
1,2023-09-19 11,37.9
2,2023-09-19 12,35.0
3,2023-09-19 13,34.97
4,2023-09-19 14,34.14
5,2023-09-19 15,34.56
6,2023-09-19 16,34.17
7,2023-09-19 17,30.91
8,2023-09-19 18,27.71
9,2023-09-19 19,26.11
10,2023-09-19 20,25.29
11,2023-09-19 21,24.65
12,2023-09-19 22,24.23
13,2023-09-19 23,23.97
14,2023-09-20 00,24.1
15,2023-09-20 01,24.1
16,2023-09-20 02,25.07
17,2023-09-20 03,24.7
18,2023-09-20 04,24.8
19,2023-09-20 05,24.85
20,2023-09-20 06,25.24
21,2023-09-20 07,27.51
22,2023-09-20 08,32.87
23,2023-09-20 09,32.34
24,2023-09-20 10,32.56
25,2023-09-20 13,35.31
26,2023-09-20 14,33.97
27,2023-09-20 15,
28,2023-09-20 16,
29,2023-09-20 17,29.63
30,2023-09-20 18,27.06
31,2023-09-20 19,26.19
32,2023-09-20 20,25.25
33,2023-09-20 21,24.95
34,2023-09-20 22,24.5
35,2023-09-20 23,24.32
36,2023-09-21 00,24.08
37,2023-09-21 01,24.11
38,2023-09-21 02,24.88
39,2023-09-21 03,
40,2023-09-21 04,24.9
41,2023-09-21 05,
42,2023-09-21 06,
43,2023-09-21 07,
44,2023-09-21 08,32.81
45,2023-09-21 09,33.77
46,2023-09-21 10,34.81
47,2023-09-21 11,32.17
48,2023-09-21 12,32.22
49,2023-09-21 13,35.29
50,2023-09-21 14,35.18
51,2023-09-21 15,32.82
52,2023-09-21 16,30.6
53,2023-09-21 17,28.82
54,2023-09-21 18,26.82
55,2023-09-21 19,26.09
56,2023-09-21 20,25.52
57,2023-09-21 21,24.8
58,2023-09-21 22,24.46
59,2023-09-21 23,24.33
60,2023-09-22 00,24.19
61,2023-09-22 01,23.52
62,2023-09-22 02,23.08
63,2023-09-22 03,23.29
64,2023-09-22 04,22.97
65,2023-09-22 05,22.9
66,2023-09-22 06,23.51
67,2023-09-22 07,27.39
68,2023-09-22 08,35.33
