,Date,1
69,2023-09-22 09,36.92
70,2023-09-22 10,39.19
71,2023-09-22 11,36.04
72,2023-09-22 12,39.37
73,2023-09-22 13,36.49
74,2023-09-22 14,38.12
75,2023-09-22 15,32.72
76,2023-09-22 16,32.26
77,2023-09-22 17,30.22
78,2023-09-22 18,28.26
79,2023-09-22 19,27.05
80,2023-09-22 20,26.79
81,2023-09-22 21,26.81
82,2023-09-22 22,26.31
83,2023-09-22 23,26.24
84,2023-09-23 00,25.93
85,2023-09-23 01,25.78
86,2023-09-23 02,25.75
87,2023-09-23 03,25.67
88,2023-09-23 04,25.48
89,2023-09-23 05,25.59
90,2023-09-23 06,26.19
91,2023-09-23 07,27.46
92,2023-09-23 08,34.36
93,2023-09-23 09,36.81
94,2023-09-23 10,37.7
95,2023-09-23 11,38.03
96,2023-09-23 12,37.58
97,2023-09-23 13,37.44
98,2023-09-23 14,33.89
99,2023-09-23 15,33.67
100,2023-09-23 16,30.82
101,2023-09-23 17,
102,2023-09-23 18,27.67
103,2023-09-23 19,
104,2023-09-23 20,
105,2023-09-23 21,26.19
106,2023-09-23 22,25.43
107,2023-09-23 23,
108,2023-09-24 00,
109,2023-09-24 01,24.38
110,2023-09-24 02,23.92
111,2023-09-24 03,
112,2023-09-24 04,
113,2023-09-24 05,
114,2023-09-24 06,
115,2023-09-24 07,
116,2023-09-24 08,33.15
117,2023-09-24 09,37.07
118,2023-09-24 10,38.92
119,2023-09-24 11,38.91
120,2023-09-24 12,36.71
121,2023-09-24 13,35.31
122,2023-09-24 14,35.77
123,2023-09-24 15,34.84
124,2023-09-24 16,33.15
125,2023-09-24 17,32.0
126,2023-09-24 18,28.21
127,2023-09-24 19,26.91
128,2023-09-24 20,26.53
129,2023-09-24 21,26.19
130,2023-09-24 22,26.19
131,2023-09-24 23,26.08
132,2023-09-25 00,25.6
133,2023-09-25 01,25.1
134,2023-09-25 02,24.19
135,2023-09-25 03,23.88
136,2023-09-25 04,23.27
137,2023-09-25 05,22.92
138,2023-09-25 06,23.94
139,2023-09-25 07,26.93
140,2023-09-25 08,34.84
141,2023-09-25 09,36.64
142,2023-09-25 10,38.37
143,2023-09-25 11,38.59
144,2023-09-25 12,34.24
145,2023-09-25 13,37.17
146,2023-09-25 14,33.36
147,2023-09-25 15,34.88
148,2023-09-25 16,33.91
149,2023-09-25 17,32.05
150,2023-09-25 18,27.46
151,2023-09-25 19,26.87
152,2023-09-25 20,26.6
153,2023-09-25 21,26.37
154,2023-09-25 22,25.99
155,2023-09-25 23,25.93
156,2023-09-26 00,25.16
157,2023-09-26 01,
158,2023-09-26 02,23.97
159,2023-09-26 03,23.42
160,2023-09-26 04,23.41
161,2023-09-26 05,23.6
162,2023-09-26 06,25.08
163,2023-09-26 07,
164,2023-09-26 08,36.6
165,2023-09-26 09,
166,2023-09-26 10,38.21
167,2023-09-26 11,38.45
168,2023-09-26 12,38.77
169,2023-09-26 13,38.5
170,2023-09-26 14,37.26
171,2023-09-26 15,35.72
172,2023-09-26 16,33.68
173,2023-09-26 17,31.94
174,2023-09-26 18,27.23
175,2023-09-26 19,26.92
176,2023-09-26 20,26.64
177,2023-09-26 21,26.63
178,2023-09-26 22,26.2
179,2023-09-26 23,26.13
180,2023-09-27 00,25.93
181,2023-09-27 01,25.71
182,2023-09-27 02,25.29
183,2023-09-27 03,24.95
184,2023-09-27 04,24.82
185,2023-09-27 05,24.87
186,2023-09-27 06,25.01
187,2023-09-27 07,26.19
188,2023-09-27 08,33.6
189,2023-09-27 09,31.29
190,2023-09-27 10,36.71
191,2023-09-27 11,37.44
192,2023-09-27 12,37.32
193,2023-09-27 13,37.08
194,2023-09-27 14,36.81
195,2023-09-27 15,34.84
196,2023-09-27 16,33.6
197,2023-09-27 17,31.21
198,2023-09-27 18,27.2
199,2023-09-27 19,26.51
200,2023-09-27 20,26.01
201,2023-09-27 21,25.65
202,2023-09-27 22,25.63
203,2023-09-27 23,25.62
204,2023-09-28 00,25.64
205,2023-09-28 01,25.22
206,2023-09-28 02,24.43
207,2023-09-28 03,24.29
208,2023-09-28 04,24.29
209,2023-09-28 05,24.17
210,2023-09-28 06,25.4
211,2023-09-28 07,28.57
212,2023-09-28 08,34.54
213,2023-09-28 09,36.97
214,2023-09-28 10,38.18
215,2023-09-28 11,39.17
216,2023-09-28 12,38.44
217,2023-09-28 13,38.59
218,2023-09-28 14,37.78
219,2023-09-28 15,36.91
220,2023-09-28 16,35.24
221,2023-09-28 17,33.15
222,2023-09-28 18,27.84
223,2023-09-28 19,27.34
224,2023-09-28 20,26.61
225,2023-09-28 21,26.57
226,2023-09-28 22,26.57
227,2023-09-28 23,26.05
228,2023-09-29 00,25.17
229,2023-09-29 01,24.8
230,2023-09-29 02,24.33
231,2023-09-29 03,24.24
232,2023-09-29 04,24.64
233,2023-09-29 05,24.6
234,2023-09-29 06,25.07
235,2023-09-29 07,27.26
236,2023-09-29 08,29.11
237,2023-09-29 09,35.89
238,2023-09-29 10,37.02
239,2023-09-29 11,37.5
240,2023-09-29 12,37.76
241,2023-09-29 13,37.81
242,2023-09-29 14,36.3
243,2023-09-29 15,35.06
244,2023-09-29 16,33.73
245,2023-09-29 17,31.28
246,2023-09-29 18,27.35
247,2023-09-29 19,26.7
248,2023-09-29 20,26.43
249,2023-09-29 21,26.22
250,2023-09-29 22,26.19
251,2023-09-29 23,25.63
252,2023-09-30 00,25.06
253,2023-09-30 01,24.75
254,2023-09-30 02,24.18
255,2023-09-30 03,23.59
256,2023-09-30 04,23.41
257,2023-09-30 05,23.41
258,2023-09-30 06,23.72
259,2023-09-30 07,26.28
260,2023-09-30 08,35.37
261,2023-09-30 09,37.73
262,2023-09-30 10,34.81
263,2023-09-30 11,37.94
264,2023-09-30 12,37.01
265,2023-09-30 13,37.82
266,2023-09-30 14,37.32
267,2023-09-30 15,35.38
268,2023-09-30 16,34.92
269,2023-09-30 17,31.76
270,2023-09-30 18,26.6
271,2023-09-30 19,25.99
272,2023-09-30 20,25.64
273,2023-09-30 21,25.62
274,2023-09-30 22,25.52
275,2023-09-30 23,25.08
276,2023-10-01 00,25.15
277,2023-10-01 01,25.17
278,2023-10-01 02,24.89
279,2023-10-01 03,24.8
280,2023-10-01 04,24.64
281,2023-10-01 05,24.69
282,2023-10-01 06,24.75
283,2023-10-01 07,27.36
284,2023-10-01 08,33.7
285,2023-10-01 09,35.45
286,2023-10-01 10,36.61
287,2023-10-01 11,37.65
288,2023-10-01 12,37.79
289,2023-10-01 13,37.8
290,2023-10-01 14,34.06
291,2023-10-01 15,30.91
292,2023-10-01 16,26.37
293,2023-10-01 17,25.0
294,2023-10-01 18,24.86
295,2023-10-01 19,24.87
296,2023-10-01 20,24.69
297,2023-10-01 21,24.53
298,2023-10-01 22,23.96
299,2023-10-01 23,23.87
300,2023-10-02 00,23.71
301,2023-10-02 01,23.62
302,2023-10-02 02,23.74
303,2023-10-02 03,23.82
304,2023-10-02 04,23.84
305,2023-10-02 05,23.76
306,2023-10-02 06,23.75
307,2023-10-02 07,26.02
308,2023-10-02 08,27.08
309,2023-10-02 09,29.39
310,2023-10-02 10,31.01
311,2023-10-02 11,27.61
312,2023-10-02 12,27.68
313,2023-10-02 13,27.82
314,2023-10-02 14,28.34
315,2023-10-02 15,28.73
316,2023-10-02 16,30.52
317,2023-10-02 17,26.66
318,2023-10-02 18,24.57
319,2023-10-02 19,24.21
320,2023-10-02 20,23.0
321,2023-10-02 21,22.58
322,2023-10-02 22,22.77
323,2023-10-02 23,22.66
324,2023-10-03 00,22.48
325,2023-10-03 01,22.18
326,2023-10-03 02,21.85
327,2023-10-03 03,21.66
328,2023-10-03 04,21.51
329,2023-10-03 05,21.16
330,2023-10-03 06,21.77
331,2023-10-03 07,24.11
332,2023-10-03 08,30.05
333,2023-10-03 09,31.54
334,2023-10-03 10,27.23
335,2023-10-03 11,26.47
336,2023-10-03 12,28.97
337,2023-10-03 13,27.3
338,2023-10-03 14,25.24
339,2023-10-03 15,24.65
340,2023-10-03 16,24.32
341,2023-10-03 17,24.26
342,2023-10-03 18,24.24
343,2023-10-03 19,24.49
344,2023-10-03 20,24.66
345,2023-10-03 21,24.72
346,2023-10-03 22,24.65
347,2023-10-03 23,24.56
348,2023-10-04 00,24.62
349,2023-10-04 01,24.68
350,2023-10-04 02,24.42
351,2023-10-04 03,24.53
352,2023-10-04 04,24.42
353,2023-10-04 05,24.33
354,2023-10-04 06,24.4
355,2023-10-04 07,24.47
356,2023-10-04 08,24.65
357,2023-10-04 09,24.6
358,2023-10-04 10,24.32
359,2023-10-04 11,24.33
360,2023-10-04 12,24.11
361,2023-10-04 13,24.1
362,2023-10-04 14,24.01
363,2023-10-04 15,24.11
364,2023-10-04 16,24.32
365,2023-10-04 17,24.24
366,2023-10-04 18,24.12
367,2023-10-04 19,23.79
368,2023-10-04 20,24.03
369,2023-10-04 21,24.2
370,2023-10-04 22,23.97
371,2023-10-04 23,23.76
372,2023-10-05 00,23.5
373,2023-10-05 01,23.49
374,2023-10-05 02,23.67
375,2023-10-05 03,23.34
376,2023-10-05 04,23.06
377,2023-10-05 05,23.25
378,2023-10-05 06,23.07
379,2023-10-05 07,23.41
380,2023-10-05 08,24.21
381,2023-10-05 09,25.71
382,2023-10-05 10,27.94
383,2023-10-05 11,30.49
384,2023-10-05 12,30.08
385,2023-10-05 13,30.08
386,2023-10-05 14,29.65
387,2023-10-05 15,30.3
388,2023-10-05 16,29.39
389,2023-10-05 17,27.58
390,2023-10-05 18,26.39
391,2023-10-05 19,25.44
392,2023-10-05 20,25.43
393,2023-10-05 21,24.66
394,2023-10-05 22,25.05
395,2023-10-05 23,24.63
396,2023-10-06 00,24.27
397,2023-10-06 01,23.41
398,2023-10-06 02,23.35
399,2023-10-06 03,23.81
400,2023-10-06 04,23.42
401,2023-10-06 05,23.6
402,2023-10-06 06,24.56
403,2023-10-06 07,26.15
404,2023-10-06 08,28.49
405,2023-10-06 09,27.56
406,2023-10-06 10,28.29
407,2023-10-06 11,26.18
408,2023-10-06 12,31.87
409,2023-10-06 13,29.9
410,2023-10-06 14,29.68
411,2023-10-06 15,31.35
412,2023-10-06 16,27.96
413,2023-10-06 17,26.39
414,2023-10-06 18,25.81
415,2023-10-06 19,25.43
416,2023-10-06 20,24.46
417,2023-10-06 21,24.2
418,2023-10-06 22,24.19
419,2023-10-06 23,24.16
420,2023-10-07 00,23.7
421,2023-10-07 01,23.68
422,2023-10-07 02,23.72
423,2023-10-07 03,23.66
424,2023-10-07 04,23.56
425,2023-10-07 05,23.58
426,2023-10-07 06,23.8
427,2023-10-07 07,25.27
428,2023-10-07 08,26.19
429,2023-10-07 09,26.2
430,2023-10-07 10,27.34
431,2023-10-07 11,28.85
432,2023-10-07 12,30.0
433,2023-10-07 13,29.36
434,2023-10-07 14,29.27
435,2023-10-07 15,27.84
436,2023-10-07 16,26.2
437,2023-10-07 17,24.6
438,2023-10-07 18,23.79
439,2023-10-07 19,23.51
440,2023-10-07 20,23.22
441,2023-10-07 21,23.26
442,2023-10-07 22,23.25
443,2023-10-07 23,23.16
444,2023-10-08 00,23.17
445,2023-10-08 01,23.02
446,2023-10-08 02,22.84
447,2023-10-08 03,22.98
448,2023-10-08 04,23.0
449,2023-10-08 05,22.91
450,2023-10-08 06,22.68
451,2023-10-08 07,22.97
452,2023-10-08 08,23.75
453,2023-10-08 09,26.7
454,2023-10-08 10,25.95
455,2023-10-08 11,26.34
456,2023-10-08 12,25.47
457,2023-10-08 13,25.35
458,2023-10-08 14,24.73
459,2023-10-08 15,24.24
460,2023-10-08 16,23.65
461,2023-10-08 17,23.36
462,2023-10-08 18,23.09
463,2023-10-08 19,23.14
464,2023-10-08 20,23.03
465,2023-10-08 21,23.03
466,2023-10-08 22,22.72
467,2023-10-08 23,22.66
468,2023-10-09 00,22.8
469,2023-10-09 01,23.0
470,2023-10-09 02,23.08
471,2023-10-09 03,22.98
472,2023-10-09 04,23.0
473,2023-10-09 05,22.96
474,2023-10-09 06,22.9
475,2023-10-09 07,23.09
476,2023-10-09 08,23.41
477,2023-10-09 09,
478,2023-10-09 10,
479,2023-10-09 11,
480,2023-10-09 12,
481,2023-10-09 13,
482,2023-10-09 14,
483,2023-10-09 15,
484,2023-10-09 16,
485,2023-10-09 17,
486,2023-10-09 18,
487,2023-10-09 19,
488,2023-10-09 20,
489,2023-10-09 21,
490,2023-10-09 22,
491,2023-10-09 23,
492,2023-10-10 00,
493,2023-10-10 01,
494,2023-10-10 02,
495,2023-10-10 03,
496,2023-10-10 04,
497,2023-10-10 05,
498,2023-10-10 06,
499,2023-10-10 07,
500,2023-10-10 08,
501,2023-10-10 09,
502,2023-10-10 10,
503,2023-10-10 11,
504,2023-10-10 12,
505,2023-10-10 13,
506,2023-10-10 14,
507,2023-10-10 15,
508,2023-10-10 16,
509,2023-10-10 17,
510,2023-10-10 18,
511,2023-10-10 19,
512,2023-10-10 20,
513,2023-10-10 21,
514,2023-10-10 22,
515,2023-10-10 23,
516,2023-10-11 00,
517,2023-10-11 01,
518,2023-10-11 02,
519,2023-10-11 03,
520,2023-10-11 04,
521,2023-10-11 05,
522,2023-10-11 06,
523,2023-10-11 07,
524,2023-10-11 08,
525,2023-10-11 09,28.05
526,2023-10-11 10,30.08
527,2023-10-11 11,30.49
528,2023-10-11 12,31.65
529,2023-10-11 13,31.99
530,2023-10-11 14,30.67
531,2023-10-11 15,29.14
532,2023-10-11 16,27.85
533,2023-10-11 17,23.41
534,2023-10-11 18,22.14
535,2023-10-11 19,21.79
536,2023-10-11 20,21.76
537,2023-10-11 21,21.4
538,2023-10-11 22,21.1
539,2023-10-11 23,20.72
540,2023-10-12 00,20.62
541,2023-10-12 01,20.77
542,2023-10-12 02,20.83
543,2023-10-12 03,20.69
544,2023-10-12 04,20.72
545,2023-10-12 05,20.64
546,2023-10-12 06,20.64
547,2023-10-12 07,25.53
548,2023-10-12 08,30.32
549,2023-10-12 09,30.44
550,2023-10-12 10,33.3
551,2023-10-12 11,34.57
552,2023-10-12 12,33.27
553,2023-10-12 13,29.01
554,2023-10-12 14,31.5
555,2023-10-12 15,27.88
556,2023-10-12 16,29.33
557,2023-10-12 17,24.33
558,2023-10-12 18,22.84
559,2023-10-12 19,22.48
560,2023-10-12 20,22.07
561,2023-10-12 21,22.04
562,2023-10-12 22,21.61
563,2023-10-12 23,21.6
564,2023-10-13 00,21.54
565,2023-10-13 01,21.55
566,2023-10-13 02,21.46
567,2023-10-13 03,21.14
568,2023-10-13 04,20.92
569,2023-10-13 05,20.91
570,2023-10-13 06,21.25
571,2023-10-13 07,22.7
572,2023-10-13 08,26.58
573,2023-10-13 09,31.3
574,2023-10-13 10,33.41
575,2023-10-13 11,34.22
576,2023-10-13 12,30.9
577,2023-10-13 13,29.38
578,2023-10-13 14,33.77
579,2023-10-13 15,31.57
580,2023-10-13 16,26.99
581,2023-10-13 17,23.84
582,2023-10-13 18,
583,2023-10-13 19,
584,2023-10-13 20,
585,2023-10-13 21,
586,2023-10-13 22,
587,2023-10-13 23,
588,2023-10-14 00,
589,2023-10-14 01,
590,2023-10-14 02,
591,2023-10-14 03,
592,2023-10-14 04,
593,2023-10-14 05,
594,2023-10-14 06,
595,2023-10-14 07,
596,2023-10-14 08,
597,2023-10-14 09,
598,2023-10-14 10,
599,2023-10-14 11,
600,2023-10-14 12,26.19
601,2023-10-14 13,25.97
602,2023-10-14 14,27.52
603,2023-10-14 15,26.31
604,2023-10-14 16,24.73
605,2023-10-14 17,22.83
606,2023-10-14 18,
607,2023-10-14 19,
608,2023-10-14 20,
609,2023-10-14 21,21.38
610,2023-10-14 22,21.25
611,2023-10-14 23,21.14
612,2023-10-15 00,21.01
613,2023-10-15 01,20.83
614,2023-10-15 02,19.82
615,2023-10-15 03,20.64
616,2023-10-15 04,20.74
617,2023-10-15 05,20.75
618,2023-10-15 06,21.04
619,2023-10-15 07,21.87
620,2023-10-15 08,23.85
621,2023-10-15 09,30.76
622,2023-10-15 10,30.79
623,2023-10-15 11,33.65
624,2023-10-15 12,28.38
625,2023-10-15 13,28.82
626,2023-10-15 14,27.63
627,2023-10-15 15,28.93
628,2023-10-15 16,27.73
629,2023-10-15 17,22.57
630,2023-10-15 18,21.07
631,2023-10-15 19,20.46
632,2023-10-15 20,20.64
633,2023-10-15 21,19.84
634,2023-10-15 22,
635,2023-10-15 23,
636,2023-10-16 00,
637,2023-10-16 01,
638,2023-10-16 02,
639,2023-10-16 03,
640,2023-10-16 04,
641,2023-10-16 05,
642,2023-10-16 06,
643,2023-10-16 07,
644,2023-10-16 08,27.6
645,2023-10-16 09,30.84
646,2023-10-16 10,32.09
647,2023-10-16 11,31.68
648,2023-10-16 12,32.66
649,2023-10-16 13,32.87
650,2023-10-16 14,30.17
651,2023-10-16 15,
652,2023-10-16 16,27.63
653,2023-10-16 17,23.2
654,2023-10-16 18,22.16
655,2023-10-16 19,21.46
656,2023-10-16 20,21.11
657,2023-10-16 21,21.07
658,2023-10-16 22,20.92
659,2023-10-16 23,20.78
660,2023-10-17 00,20.84
661,2023-10-17 01,21.61
662,2023-10-17 02,20.93
663,2023-10-17 03,20.85
664,2023-10-17 04,20.98
665,2023-10-17 05,21.43
666,2023-10-17 06,21.82
667,2023-10-17 07,22.99
668,2023-10-17 08,26.48
669,2023-10-17 09,29.17
670,2023-10-17 10,32.91
671,2023-10-17 11,33.6
672,2023-10-17 12,34.85
673,2023-10-17 13,32.37
674,2023-10-17 14,32.24
675,2023-10-17 15,29.48
676,2023-10-17 16,26.45
677,2023-10-17 17,23.32
678,2023-10-17 18,22.53
679,2023-10-17 19,22.36
680,2023-10-17 20,
681,2023-10-17 21,
682,2023-10-17 22,
683,2023-10-17 23,
684,2023-10-18 00,
685,2023-10-18 01,
686,2023-10-18 02,
687,2023-10-18 03,
688,2023-10-18 04,
689,2023-10-18 05,
690,2023-10-18 06,
691,2023-10-18 07,
692,2023-10-18 08,29.68
693,2023-10-18 09,35.09
694,2023-10-18 10,33.44
695,2023-10-18 11,34.17
696,2023-10-18 12,37.28
697,2023-10-18 13,33.63
698,2023-10-18 14,34.34
699,2023-10-18 15,33.88
700,2023-10-18 16,30.49
701,2023-10-18 17,26.08
702,2023-10-18 18,24.13
703,2023-10-18 19,23.36
704,2023-10-18 20,22.26
705,2023-10-18 21,21.54
706,2023-10-18 22,21.33
707,2023-10-18 23,21.3
708,2023-10-19 00,21.96
709,2023-10-19 01,21.24
710,2023-10-19 02,20.9
711,2023-10-19 03,20.56
712,2023-10-19 04,20.99
713,2023-10-19 05,20.64
714,2023-10-19 06,20.28
715,2023-10-19 07,24.79
716,2023-10-19 08,31.92
717,2023-10-19 09,
718,2023-10-19 10,36.84
719,2023-10-19 11,31.53
720,2023-10-19 12,35.73
721,2023-10-19 13,32.48
722,2023-10-19 14,32.94
723,2023-10-19 15,31.3
724,2023-10-19 16,27.27
725,2023-10-19 17,25.63
726,2023-10-19 18,25.03
727,2023-10-19 19,24.9
728,2023-10-19 20,24.57
729,2023-10-19 21,23.75
730,2023-10-19 22,23.52
731,2023-10-19 23,23.5
732,2023-10-20 00,23.11
733,2023-10-20 01,23.03
734,2023-10-20 02,23.65
735,2023-10-20 03,23.5
736,2023-10-20 04,23.42
737,2023-10-20 05,22.9
738,2023-10-20 06,23.11
739,2023-10-20 07,24.84
740,2023-10-20 08,25.84
741,2023-10-20 09,
742,2023-10-20 10,
743,2023-10-20 11,
744,2023-10-20 12,27.97
745,2023-10-20 13,23.65
746,2023-10-20 14,22.06
747,2023-10-20 15,21.37
748,2023-10-20 16,20.84
749,2023-10-20 17,20.58
750,2023-10-20 18,20.26
751,2023-10-20 19,19.77
752,2023-10-20 20,19.51
753,2023-10-20 21,19.57
754,2023-10-20 22,19.36
755,2023-10-20 23,19.45
756,2023-10-21 00,19.38
757,2023-10-21 01,19.14
758,2023-10-21 02,18.95
759,2023-10-21 03,18.77
760,2023-10-21 04,18.76
761,2023-10-21 05,18.87
762,2023-10-21 06,19.1
763,2023-10-21 07,20.4
764,2023-10-21 08,23.9
765,2023-10-21 09,22.35
766,2023-10-21 10,21.42
767,2023-10-21 11,23.52
768,2023-10-21 12,23.83
769,2023-10-21 13,22.81
770,2023-10-21 14,23.41
771,2023-10-21 15,22.39
772,2023-10-21 16,22.7
773,2023-10-21 17,20.77
774,2023-10-21 18,20.64
775,2023-10-21 19,20.64
776,2023-10-21 20,20.64
777,2023-10-21 21,20.62
778,2023-10-21 22,20.39
779,2023-10-21 23,20.42
780,2023-10-22 00,20.48
781,2023-10-22 01,20.64
782,2023-10-22 02,20.73
783,2023-10-22 03,20.64
784,2023-10-22 04,20.62
785,2023-10-22 05,20.79
786,2023-10-22 06,20.74
787,2023-10-22 07,
788,2023-10-22 08,22.57
789,2023-10-22 09,
790,2023-10-22 10,
791,2023-10-22 11,26.89
792,2023-10-22 12,
793,2023-10-22 13,28.19
794,2023-10-22 14,
795,2023-10-22 15,30.79
796,2023-10-22 16,24.1
797,2023-10-22 17,22.54
798,2023-10-22 18,22.21
799,2023-10-22 19,22.03
800,2023-10-22 20,21.58
801,2023-10-22 21,
802,2023-10-22 22,21.21
803,2023-10-22 23,
804,2023-10-23 00,
805,2023-10-23 01,
806,2023-10-23 02,
807,2023-10-23 03,
808,2023-10-23 04,
809,2023-10-23 05,
810,2023-10-23 06,
811,2023-10-23 07,
812,2023-10-23 08,
813,2023-10-23 09,28.67
814,2023-10-23 10,34.61
815,2023-10-23 11,32.99
816,2023-10-23 12,35.04
817,2023-10-23 13,34.32
818,2023-10-23 14,31.99
819,2023-10-23 15,30.16
820,2023-10-23 16,29.21
821,2023-10-23 17,24.36
822,2023-10-23 18,22.4
823,2023-10-23 19,22.48
824,2023-10-23 20,21.84
825,2023-10-23 21,21.62
826,2023-10-23 22,21.32
827,2023-10-23 23,20.71
828,2023-10-24 00,20.62
829,2023-10-24 01,20.46
830,2023-10-24 02,20.16
831,2023-10-24 03,20.46
832,2023-10-24 04,20.27
833,2023-10-24 05,19.68
834,2023-10-24 06,20.01
835,2023-10-24 07,24.71
836,2023-10-24 08,32.32
837,2023-10-24 09,35.84
838,2023-10-24 10,32.92
839,2023-10-24 11,33.27
840,2023-10-24 12,32.52
841,2023-10-24 13,30.22
842,2023-10-24 14,32.24
843,2023-10-24 15,28.88
844,2023-10-24 16,26.19
845,2023-10-24 17,24.43
846,2023-10-24 18,23.4
847,2023-10-24 19,22.8
848,2023-10-24 20,22.65
849,2023-10-24 21,22.5
850,2023-10-24 22,22.01
851,2023-10-24 23,21.21
852,2023-10-25 00,21.23
853,2023-10-25 01,21.43
854,2023-10-25 02,21.25
855,2023-10-25 03,20.64
856,2023-10-25 04,20.71
857,2023-10-25 05,20.91
858,2023-10-25 06,20.9
859,2023-10-25 07,25.61
860,2023-10-25 08,31.21
861,2023-10-25 09,33.14
862,2023-10-25 10,34.82
863,2023-10-25 11,36.28
864,2023-10-25 12,32.7
865,2023-10-25 13,33.49
866,2023-10-25 14,32.64
867,2023-10-25 15,33.75
868,2023-10-25 16,30.55
869,2023-10-25 17,24.47
870,2023-10-25 18,22.67
871,2023-10-25 19,22.26
872,2023-10-25 20,21.67
873,2023-10-25 21,21.24
874,2023-10-25 22,20.81
875,2023-10-25 23,19.91
876,2023-10-26 00,20.35
877,2023-10-26 01,19.74
878,2023-10-26 02,19.54
879,2023-10-26 03,18.88
880,2023-10-26 04,18.37
881,2023-10-26 05,18.04
882,2023-10-26 06,
883,2023-10-26 07,22.35
884,2023-10-26 08,29.9
885,2023-10-26 09,33.38
886,2023-10-26 10,35.42
887,2023-10-26 11,34.02
888,2023-10-26 12,33.92
889,2023-10-26 13,32.87
890,2023-10-26 14,33.97
891,2023-10-26 15,28.37
892,2023-10-26 16,28.13
893,2023-10-26 17,24.57
894,2023-10-26 18,22.97
895,2023-10-26 19,21.4
896,2023-10-26 20,21.05
897,2023-10-26 21,22.08
898,2023-10-26 22,22.03
899,2023-10-26 23,21.97
900,2023-10-27 00,22.1
901,2023-10-27 01,21.85
902,2023-10-27 02,21.55
903,2023-10-27 03,21.61
904,2023-10-27 04,21.74
905,2023-10-27 05,22.03
906,2023-10-27 06,21.87
907,2023-10-27 07,22.97
908,2023-10-27 08,24.16
909,2023-10-27 09,26.37
910,2023-10-27 10,26.63
911,2023-10-27 11,26.01
912,2023-10-27 12,28.68
913,2023-10-27 13,28.59
914,2023-10-27 14,25.63
915,2023-10-27 15,24.6
916,2023-10-27 16,21.95
917,2023-10-27 17,21.48
918,2023-10-27 18,20.31
919,2023-10-27 19,20.16
920,2023-10-27 20,20.54
921,2023-10-27 21,20.75
922,2023-10-27 22,20.69
923,2023-10-27 23,20.66
924,2023-10-28 00,21.37
925,2023-10-28 01,21.67
926,2023-10-28 02,21.49
927,2023-10-28 03,20.94
928,2023-10-28 04,20.35
929,2023-10-28 05,19.66
930,2023-10-28 06,19.02
931,2023-10-28 07,18.77
932,2023-10-28 08,18.77
933,2023-10-28 09,19.29
934,2023-10-28 10,19.73
935,2023-10-28 11,22.56
936,2023-10-28 12,24.33
937,2023-10-28 13,23.52
938,2023-10-28 14,23.72
939,2023-10-28 15,21.79
940,2023-10-28 16,21.08
941,2023-10-28 17,20.37
942,2023-10-28 18,20.4
943,2023-10-28 19,20.62
944,2023-10-28 20,20.73
945,2023-10-28 21,20.64
946,2023-10-28 22,20.92
947,2023-10-28 23,20.88
948,2023-10-29 00,20.64
949,2023-10-29 01,20.62
950,2023-10-29 02,20.81
951,2023-10-29 03,20.64
952,2023-10-29 04,20.55
953,2023-10-29 05,20.25
954,2023-10-29 06,20.81
955,2023-10-29 07,20.55
956,2023-10-29 08,21.58
957,2023-10-29 09,23.03
