,Date,1
0,2023-10-18 10,35.3
1,2023-10-18 11,39.8
2,2023-10-18 12,40.12
3,2023-10-18 13,35.77
4,2023-10-18 14,37.48
5,2023-10-18 15,35.99
6,2023-10-18 16,30.6
7,2023-10-18 17,26.43
8,2023-10-18 18,
9,2023-10-18 19,23.96
10,2023-10-18 20,
11,2023-10-18 21,23.87
12,2023-10-18 22,23.33
13,2023-10-18 23,23.65
14,2023-10-19 00,23.89
15,2023-10-19 01,
16,2023-10-19 02,22.31
17,2023-10-19 03,
18,2023-10-19 04,
19,2023-10-19 05,
20,2023-10-19 06,
21,2023-10-19 07,
22,2023-10-19 08,
23,2023-10-19 09,
24,2023-10-19 10,
25,2023-10-19 11,
26,2023-10-19 12,
27,2023-10-19 13,
28,2023-10-19 14,
29,2023-10-19 15,
30,2023-10-19 16,
31,2023-10-19 17,
32,2023-10-19 18,
33,2023-10-19 19,
34,2023-10-19 20,
35,2023-10-19 21,
36,2023-10-19 22,
37,2023-10-19 23,
38,2023-10-20 00,
39,2023-10-20 01,
40,2023-10-20 02,
41,2023-10-20 03,
42,2023-10-20 04,
43,2023-10-20 05,
44,2023-10-20 06,
45,2023-10-20 07,
46,2023-10-20 08,
47,2023-10-20 09,
48,2023-10-20 10,
49,2023-10-20 11,
50,2023-10-20 12,
51,2023-10-20 13,
52,2023-10-20 14,
53,2023-10-20 15,
54,2023-10-20 16,
55,2023-10-20 17,
56,2023-10-20 18,
57,2023-10-20 19,
58,2023-10-20 20,
59,2023-10-20 21,
60,2023-10-20 22,
61,2023-10-20 23,
62,2023-10-21 00,
63,2023-10-21 01,
64,2023-10-21 02,
65,2023-10-21 03,
66,2023-10-21 04,
67,2023-10-21 05,
68,2023-10-21 06,
69,2023-10-21 07,
70,2023-10-21 08,
71,2023-10-21 09,
72,2023-10-21 10,
73,2023-10-21 11,
74,2023-10-21 12,
75,2023-10-21 13,
76,2023-10-21 14,
77,2023-10-21 15,
78,2023-10-21 16,
79,2023-10-21 17,
80,2023-10-21 18,
81,2023-10-21 19,
82,2023-10-21 20,
83,2023-10-21 21,
84,2023-10-21 22,
85,2023-10-21 23,
86,2023-10-22 00,
87,2023-10-22 01,
88,2023-10-22 02,
89,2023-10-22 03,
90,2023-10-22 04,
91,2023-10-22 05,
92,2023-10-22 06,
93,2023-10-22 07,
94,2023-10-22 08,
95,2023-10-22 09,
96,2023-10-22 10,
97,2023-10-22 11,
98,2023-10-22 12,
99,2023-10-22 13,
100,2023-10-22 14,
